order_unit_id,ctdb_cre_datetime,ctdb_upd_datetime,ctdb_last_updator,ctcv_conv_id,parent_order_unit,order_id,status,action_type,due_date,early_date,cancel_reason,ap_id,parent_relation,main_ind,quantity,qsequence_num,case_id,entity_type,ap_version_id,xml_file_name,xml_file_path,provisioning_date,configuration,language,parent_associated_id,split_step_name,logical_server_name,service_req_date,priority,application_date,org_owner_id,contact_id,customer_id,reference_number,is_active,owner_role,creator_id,alloc_type,xml_id,privs_key,application_ref_id,add_product_ind,assignment_history,back_assignment_id,order_unit_type,on_hold_ind,desc_flags,business_process_id,originating_oa,application_name,request_ids,ext_ref_num,cust_will_rcnt_ind,recontact_period,recontact_in_month,recontact_in_year,ext_ref_remark,creation_date,sales_channel,srd_cease_move,reason_id,reason_free_text,inst_address_type,group_id,cancel_allowed,amend_due_date_ind,cust_order_ref,replace_offer_ind,last_updated_user,sent_contract_names,is_in_error,future_resume_date,is_pass_select_offer_product,is_current_quote_upd,impl_items,initial_case_id,active_case_id,initial_business_process_id,initial_process_definition_id,milestone_done,replaced_offer_ap_id,is_started,offer_ap_id,offer_must_be_replaced,product_must_be_replaced,amend_allowed_ind,oa_id_before_ro,apm_modifier_id,is_to_skip_mro,request_line_id,item_partition_key,quick_action_id,dynamic_attrs,is_quick_action_mode,quick_action_version_id,is_quick_action_executed,item_partition_date,eligibility_status,compatibility_status,align_ref_oa_id,is_charge_dist_required,is_charge_dist_enabled,creation_method,order_action_sub_type,is_current_quote_upd_tax,is_current_quote_upd_pro,business_product_type,orig_date_before_amend,end_date,framework_agreement_id,l3_shipping_address_id,l3_site_id,l3_invoice_id,l3_account_id,l3_credit_id,l3_amount,l3_mass_oaid,l3_taxes_amount,l3_work_order_id,l9_request_id
86216003,2024-12-20 09:45:52,2024-12-20 09:47:29,Asmsa1,,86216002,86216002,DO,CH,2024-12-20 23:59:59,,,820906491,NA,1,0,,WdkAAFEraWcK7OIij8U,amdocs.oms.cust.oem.OmOrderActionImpl,2,,,,R,EN,,,,2024-12-20 23:59:59,50,2024-12-20 09:45:52,Default Team,,1000006271,86216003A,0,,Asmsa1,noAlloc,,,,0,"-2,",,R,0,0,AAAAADCXP2UKThRywQ4,,,,,0,1,,,,2024-12-20 09:45:52,RT,,RPDB,,,,NA,0,,0,Asmsa1,,0,,0,1,,,WdkAAFEraWcK7OIij8U,,,1,,1,,,,NA,,,0,,1837,,ADDCID=86216003;CYCLE_DAY=20;EXP_DELIVERY_FOR_FEE_IMPL=True;IS_CALL_FROM_KAFKA=True;NO_SHIP_IMPL=True;NUMBER_ALLOCATION=new_number;REAL_CYCLE_DAY_WAS_SENT=Y,0,,,1901-01-01 00:00:00,NC,CO,,,,,,0,0,,,,,,,64149,,,,,,,
86216005,2024-12-20 09:45:52,2024-12-20 09:45:52,Asmsa1,,86216002,86216002,DO,RE,2024-12-20 23:59:59,,,820906522,NA,1,0,,BeAAAFEraWcK7OIij8U,amdocs.oms.cust.oem.OmOrderActionImpl,0,,,,R,EN,,,,2024-12-20 23:59:59,50,2024-12-20 09:45:52,Default Team,,1000006271,86216005A,0,,Asmsa1,noAlloc,,,,0,"-2,",,R,0,0,cgcAAHuDl2bAqP5mTAY,,,,,0,1,,,,2024-12-20 09:45:52,RT,,,,,,NA,0,,0,Asmsa1,,0,,0,0,,,BeAAAFEraWcK7OIij8U,,,1,,1,,,,NA,,,0,,1837,,PR_DEVICE_INSTALLMENT_ATTRIBUTE=36;PR_EIP_SEQUENCE_NUMBER=86215997;PR_IMEI=50114611697894;PR_PURCHASED_ORDER_ACTION_ID=86215997,0,,,1901-01-01 00:00:00,NC,NC,,,,,,0,0,,,,,,,,,,,,,,
86216000,2024-12-20 09:44:36,2024-12-20 09:47:29,Asmsa1,,86215999,86215999,DO,CH,2024-12-20 23:59:59,,,820906491,NA,1,0,,iMgAAFEraWcK7OIij8U,amdocs.oms.cust.oem.OmOrderActionImpl,1,,,,R,EN,,,,2024-12-20 23:59:59,50,2024-12-20 09:44:36,Default Team,,1000006271,86216000A,0,,Asmsa1,noAlloc,,,,0,"-2,",,R,0,0,AAAAADCXP2UKThRywQ4,,,,,0,1,,,,2024-12-20 09:44:36,RT,,,,,,NA,0,,0,Asmsa1,,0,,0,1,,,iMgAAFEraWcK7OIij8U,,,1,,1,,,,NA,,,0,,1837,,ADDCID=86216000;CYCLE_DAY=20;EXP_DELIVERY_FOR_FEE_IMPL=True;IS_ADD_INSURANCE_FLOW_ONLY=Y;IS_CALL_FROM_KAFKA=True;NO_SHIP_IMPL=True;NUMBER_ALLOCATION=new_number;REAL_CYCLE_DAY_WAS_SENT=Y,0,,,2024-12-20 00:00:00,NC,CO,,,,,,0,0,,,,,,,,,,,,,,
86215997,2024-12-20 09:43:15,2024-12-20 09:45:27,Asmsa1,,86215996,86215996,DO,PR,2024-12-20 23:59:59,,,820906491,NA,1,0,,o7cAAFEraWcK7OIij8U,amdocs.oms.cust.oem.OmOrderActionImpl,0,,,,R,EN,,,,2024-12-20 23:59:59,50,2024-12-20 09:43:15,Default Team,,1000006271,86215997A,0,,Asmsa1,noAlloc,,,,0,"-2,",,R,0,0,3AYAAFtER2bAqOE7KBI,,,,,0,1,,,,2024-12-20 09:43:15,RT,,,,,,NA,0,,0,Asmsa1,,0,,1,1,,,o7cAAFEraWcK7OIij8U,,,1,,1,,,,NA,,,0,,1837,,ADDCID=86215997;CYCLE_DAY=20;EXP_DELIVERY_FOR_FEE_IMPL=True;IS_CALL_FROM_KAFKA=True;NO_SHIP_IMPL=True;NUMBER_ALLOCATION=new_number;REAL_CYCLE_DAY_WAS_SENT=N,0,,,2024-12-20 00:00:00,NC,CO,,,,,,0,0,,,,,,,64144,,,,,,,
